MAKE,MODEL,GRADE,CHASSIS NO,STOCK_ID,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL
NISSAN,NOTE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",21181,21181,SILVER,,1200,2944,201902.0,JAPAN,0,,2019,NISSAN NOTE
NISSAN,NV200,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",42800,42800,WHITE,,1600,173190,201912.0,JAPAN,0,,2019,NISSAN NV200
NISSAN,NOTE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",60298,60298,GREY,,1200,81812,201904.0,JAPAN,0,,2019,NISSAN NOTE
BMW,X4,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",99443,99443,GREY,,3000,53725,201911.0,JAPAN,0,,2019,BMW X4
BMW,X4,N/A,30015,30015,BLACK,,3000,37100,202008.0,JAPAN,0,,2020,BMW X4
BMW,330i,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",74630,74630,BLACK,,2000,108050,201911.0,JAPAN,0,,2019,BMW 330i
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",52355,52355,SILVER,,1500,105969,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
MERCEDEZ BENZ,GLE450,N/A,43592,43592,BLACK,,3000,73307,201907.0,JAPAN,0,,2019,MERCEDEZ BENZ GLE450
TOYOTA,ALPHARD,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",43437,43437,BLACK,,2500,122980,202011.0,JAPAN,0,,2020,TOYOTA ALPHARD
SUZUKI,JIMNY,"{'grade_uuid': 'a0c6c8c3-a131-4ca0-9b11-3caad408158f', 'grade': 'SIERRA'}",17533,17533,BLACK,,1500,74440,202003.0,JAPAN,0,,2020,SUZUKI JIMNY
TOYOTA,PRADO,N/A,01547,01547,PEARL,,2700,44000,201907.0,JAPAN,0,,2019,TOYOTA PRADO
TOYOTA,YARIS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",57701,57701,BLACK,,1000,98710,202112.0,JAPAN,0,,2021,TOYOTA YARIS
MERCEDEZ BENZ,C200,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",33672,33672,SILVER,,1500,49720,201910.0,JAPAN,0,,2019,MERCEDEZ BENZ C200
SUZUKI,ALTO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",09426,09426,L.BLUE,,660,57102,201903.0,JAPAN,0,,2019,SUZUKI ALTO
